,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
1210,2022-06-30,英国,3.9,2,GBR,36380.2232999305,0.003732211785605167,0.11406321316738266,2022
1211,2022-09-30,英国,2.07,3,GBR,1104773.9392266597,0.1133571763081873,1.7659724821364886,2022
1212,2022-12-31,英国,0.64,4,GBR,3357408.337730573,0.34443056357269713,2.462516849290037,2022
1213,2023-03-31,英国,0.29,1,GBR,3671440.331285672,0.37664736729350984,2.938510364995919,2023
1214,2023-06-30,英国,0.21,2,GBR,0.0,0.0,0.0,2023
1215,2023-09-30,英国,0.17,3,GBR,1097506.1331694594,0.1125933245375399,1.194748570325213,2023
1216,2023-12-31,英国,-0.25,4,GBR,3618493.5648273826,0.3712292929796038,3.9562992683688716,2023
1217,2024-03-31,英国,0.29,1,GBR,3815256.998212494,0.3914273236866927,3.291501189815826,2024
1370,2013-03-31,法国,-0.1,1,FRA,6165370.355991754,1.5438573520217183,7.193800727934426,2013
1371,2013-06-30,法国,1.2,2,FRA,1882847.8332506914,0.48381554306396635,2.110632023541734,2013
1372,2013-09-30,法国,0.9,3,FRA,2064652.4901995633,0.5031088481466998,3.4911281044601914,2013
1373,2013-12-31,法国,1.6,4,FRA,5466326.619064496,1.4029585605739994,7.690260482563062,2013
